 |                   fit_name |       quality |   chisq/nDoF                 |
*|     c2_Dt24_5-24_Dt32_3-30 |       0.52021 |   57.67/(  39 -  9) =   1.92 | F=-2.53(57)*10^-2; Ff_Dt24=6.35(4482)*10^1; Ef_Dt24=9.952(6329); Fi_Dt24=-1.55(153)*10^1; Ei_Dt24=1.646(221); Ff_Dt32=6.35(4482)*10^1; Ef_Dt32=9.952(6329); Fi_Dt32=5.09(579)*10^1; Ei_Dt32=2.031(331)
*|   csnk_Dt24_5-24_Dt32_3-29 |        0.5201 |   63.45/(  38 -  5) =   1.92 | F=-3.23(47)*10^-2; Ff_Dt24=2.76(2488)*10^1; Ef_Dt24=9.245(7725); Ff_Dt32=2.76(2488)*10^1; Ef_Dt32=9.245(7725)
*|      c_Dt24_5-24_Dt32_6-29 |       0.51962 |   67.36/(  36 -  1) =   1.92 | F=-2.05(55)*10^-2
*|      c_Dt24_5-24_Dt32_3-29 |       0.51925 |   71.26/(  38 -  1) =   1.93 | F=-3.08(47)*10^-2
*|      c_Dt24_5-24_Dt32_4-30 |       0.51634 |   71.66/(  38 -  1) =   1.94 | F=-2.49(50)*10^-2
*|      c_Dt24_5-24_Dt32_9-31 |       0.51609 |   67.82/(  36 -  1) =   1.94 | F=-9.22(427)*10^-3
*|      c_Dt24_5-24_Dt32_4-25 |       0.51245 |   66.35/(  35 -  1) =   1.95 | F=-3.81(531)*10^-3
*|      c_Dt24_5-24_Dt32_5-29 |       0.51231 |   68.32/(  36 -  1) =   1.95 | F=-2.31(54)*10^-2
*|      c_Dt24_5-24_Dt32_5-31 |       0.51122 |   72.38/(  38 -  1) =   1.96 | F=-1.40(42)*10^-2
*|      c_Dt24_5-24_Dt32_7-30 |       0.50948 |   70.66/(  37 -  1) =   1.96 | F=-1.39(51)*10^-2
*|     c2_Dt24_5-24_Dt32_2-29 |        0.5062 |   59.27/(  39 -  9) =   1.98 | F=-2.56(59)*10^-2; Ff_Dt24=4.04(3148)*10^1; Ef_Dt24=9.455(6659); Fi_Dt24=-0.666(903); Ei_Dt24=1.202(402); Ff_Dt32=4.04(3148)*10^1; Ef_Dt32=9.455(6659); Fi_Dt32=8.55(3730)*10^3; Ei_Dt32=4.958(1441)
*|      c_Dt24_5-24_Dt32_3-31 |       0.50535 |   77.17/(  40 -  1) =   1.98 | F=-2.20(36)*10^-2
*|      c_Dt24_5-24_Dt32_4-31 |       0.50348 |   75.47/(  39 -  1) =   1.99 | F=-1.72(38)*10^-2
*|      c_Dt24_5-24_Dt32_6-31 |       0.50042 |   71.94/(  37 -  1) =   2.00 | F=-1.08(45)*10^-2
 |      c_Dt24_5-24_Dt32_4-29 |       0.49847 |   72.22/(  37 -  1) =   2.01 | F=-2.60(52)*10^-2
 |      c_Dt24_5-24_Dt32_0-22 |       0.49167 |   73.22/(  37 -  1) =   2.03 | F=-3.18(47)*10^-2
 |     c2_Dt24_5-24_Dt32_3-29 |       0.48964 |   59.23/(  38 -  9) =   2.04 | F=-2.54(55)*10^-2; Ff_Dt24=3.79(212)*10^1; Ef_Dt24=9.421(560); Fi_Dt24=-1.614(394); Ei_Dt24=1.341(67); Ff_Dt32=3.79(212)*10^1; Ef_Dt32=9.421(560); Fi_Dt32=8.82(1149)*10^2; Ei_Dt32=3.309(395)
 |      c_Dt24_5-24_Dt32_0-21 |       0.48758 |   71.78/(  36 -  1) =   2.05 | F=-3.45(51)*10^-2
 |      c_Dt24_5-24_Dt32_7-29 |       0.48472 |   72.21/(  36 -  1) =   2.06 | F=-1.59(53)*10^-2
 |      c_Dt24_5-24_Dt32_1-22 |       0.47828 |   73.18/(  36 -  1) =   2.09 | F=-2.87(55)*10^-2
 |      c_Dt24_5-24_Dt32_1-21 |       0.47756 |   71.20/(  35 -  1) =   2.09 | F=-3.22(59)*10^-2
 |      c_Dt24_5-24_Dt32_0-20 |       0.47735 |   71.23/(  35 -  1) =   2.09 | F=-3.32(54)*10^-2
 |     c_Dt24_5-24_Dt32_10-32 |       0.47418 |   73.81/(  36 -  1) =   2.11 | F=-1.06(43)*10^-2
 |      c_Dt24_5-24_Dt32_7-32 |       0.47089 |   78.57/(  38 -  1) =   2.12 | F=-1.02(42)*10^-2
 |      c_Dt24_5-24_Dt32_8-32 |       0.46871 |   76.81/(  37 -  1) =   2.13 | F=-1.09(42)*10^-2
 |      c_Dt24_5-24_Dt32_2-22 |       0.46809 |   72.64/(  35 -  1) =   2.14 | F=-2.86(62)*10^-2
 |      c_Dt24_5-24_Dt32_5-26 |       0.46791 |   72.66/(  35 -  1) =   2.14 | F=-1.23(58)*10^-2
 |      c_Dt24_5-24_Dt32_3-32 |       0.46539 |   83.80/(  40 -  1) =   2.15 | F=-2.13(41)*10^-2
 |      c_Dt24_5-24_Dt32_4-32 |       0.46514 |   83.85/(  40 -  1) =   2.15 | F=-1.68(38)*10^-2
 |      c_Dt24_5-24_Dt32_9-32 |        0.4651 |   75.25/(  36 -  1) =   2.15 | F=-9.79(431)*10^-3
 |      c_Dt24_5-24_Dt32_1-24 |       0.46342 |   77.68/(  37 -  1) =   2.16 | F=-1.95(51)*10^-2
 |      c_Dt24_5-24_Dt32_2-24 |       0.46316 |   75.57/(  36 -  1) =   2.16 | F=-1.66(54)*10^-2
 |      c_Dt24_5-24_Dt32_5-32 |       0.46144 |   82.35/(  39 -  1) =   2.17 | F=-1.48(42)*10^-2
 |     c_Dt24_5-24_Dt32_11-32 |       0.46144 |   73.68/(  35 -  1) =   2.17 | F=-1.04(43)*10^-2
 |      c_Dt24_5-24_Dt32_7-27 |       0.44741 |   75.99/(  35 -  1) =   2.24 | F=-1.37(53)*10^-2
 |      c_Dt24_5-24_Dt32_6-32 |       0.43961 |   84.17/(  38 -  1) =   2.27 | F=-1.40(44)*10^-2
 |      c_Dt24_5-24_Dt32_0-24 |       0.43949 |   84.19/(  38 -  1) =   2.28 | F=-2.59(45)*10^-2
 |      c_Dt24_5-24_Dt32_2-25 |       0.43706 |   82.37/(  37 -  1) =   2.29 | F=-1.03(44)*10^-2
 |      c_Dt24_5-24_Dt32_6-26 |       0.43051 |   78.98/(  35 -  1) =   2.32 | F=-2.98(530)*10^-3
 |     c2_Dt24_5-24_Dt32_3-32 |       0.43018 |   72.06/(  40 -  9) =   2.32 | F=3.993(46); Ff_Dt24=-6.17(15)*10^3; Ef_Dt24=8.974(25); Fi_Dt24=-4.027(46); Ei_Dt24=4.08(190)*10^-4; Ff_Dt32=2.86(7)*10^2; Ef_Dt32=5.896(25); Fi_Dt32=-0.658(2288); Ei_Dt32=1.309(977)
 |   csnk_Dt24_5-24_Dt32_3-32 |       0.42665 |   82.04/(  40 -  5) =   2.34 | F=-2.39(48)*10^-2; Ff_Dt24=6.02(11468)*10^-3; Ef_Dt24=0.525(923); Ff_Dt32=6.02(11468)*10^-3; Ef_Dt32=0.525(923)
 |      c_Dt24_5-24_Dt32_4-26 |       0.42297 |   82.75/(  36 -  1) =   2.36 | F=-1.44(56)*10^-2
 |     c2_Dt24_5-24_Dt32_0-30 |       0.41766 |   76.62/(  41 -  9) =   2.39 | F=-2.23(26)*10^-2; Ff_Dt24=7.889(1474); Ef_Dt24=7.063(187); Fi_Dt24=-1.43(0)*10^1; Ei_Dt24=0.639(0); Ff_Dt32=-7.66(-2147483648)*10^3; Ef_Dt32=4.64(58636200)*10^1; Fi_Dt32=1.42(0)*10^1; Ei_Dt32=0.641(0)
 |      c_Dt24_5-24_Dt32_5-27 |       0.41315 |   84.71/(  36 -  1) =   2.42 | F=-1.60(52)*10^-2
 |     c2_Dt24_5-24_Dt32_2-32 |       0.41087 |   77.88/(  41 -  9) =   2.43 | F=-1.76(54)*10^-2; Ff_Dt24=9.207(1997); Ef_Dt24=9.644(1679); Fi_Dt24=-0.293(209); Ei_Dt24=0.899(345); Ff_Dt32=9.206(1997); Ef_Dt32=9.644(1679); Fi_Dt32=2.02(0)*10^4; Ei_Dt32=8.493(1987)
 |     c2_Dt24_5-24_Dt32_1-32 |       0.40591 |   78.83/(  41 -  9) =   2.46 | F=-1.74(42)*10^-2; Ff_Dt24=5.714(27921); Ef_Dt24=9.686(10527); Fi_Dt24=-2.154(44); Ei_Dt24=1.733(12); Ff_Dt32=2.39(263)*10^1; Ef_Dt32=9.626(1226); Fi_Dt32=7.51(16)*10^2; Ei_Dt32=4.813(11)
 |      c_Dt24_5-24_Dt32_2-26 |       0.38888 |   92.57/(  37 -  1) =   2.57 | F=-2.46(52)*10^-2
 |      c_Dt24_5-24_Dt32_4-27 |       0.38649 |   93.15/(  37 -  1) =   2.59 | F=-1.93(50)*10^-2
 |      c_Dt24_5-24_Dt32_1-25 |       0.38599 |   95.86/(  38 -  1) =   2.59 | F=-9.68(429)*10^-3
 |     c2_Dt24_5-24_Dt32_0-32 |        0.3821 |   86.37/(  42 -  9) =   2.62 | F=-1.08(93)*10^-2; Ff_Dt24=3.57(623)*10^-2; Ef_Dt24=1.651(2118); Fi_Dt24=-1.26(12)*10^1; Ei_Dt24=0.609(103); Ff_Dt32=7.63(669)*10^7; Ef_Dt32=1.14(224)*10^5; Fi_Dt32=1.26(12)*10^1; Ei_Dt32=0.613(104)
 |      c_Dt24_5-24_Dt32_1-26 |       0.38183 |   96.90/(  38 -  1) =   2.62 | F=-2.32(51)*10^-2
 |      c_Dt24_5-24_Dt32_2-30 |       0.38128 |  102.29/(  40 -  1) =   2.62 | F=-3.27(44)*10^-2
 |      c_Dt24_5-24_Dt32_2-27 |       0.37876 |   97.69/(  38 -  1) =   2.64 | F=-2.83(44)*10^-2
 |      c_Dt24_5-24_Dt32_2-29 |       0.37746 |  100.67/(  39 -  1) =   2.65 | F=-3.11(46)*10^-2
 |      c_Dt24_5-24_Dt32_1-29 |       0.37289 |  104.59/(  40 -  1) =   2.68 | F=-2.73(41)*10^-2
 |      c_Dt24_5-24_Dt32_1-30 |       0.37287 |  107.28/(  41 -  1) =   2.68 | F=-2.85(40)*10^-2
 |      c_Dt24_5-24_Dt32_1-27 |       0.36492 |  104.13/(  39 -  1) =   2.74 | F=-2.35(40)*10^-2
 |     c2_Dt24_5-24_Dt32_0-27 |        0.3488 |   88.88/(  40 -  9) =   2.87 | F=-2.83(35)*10^-2; Ff_Dt24=-8.58(1)*10^2; Ef_Dt24=2.59(4125)*10^1; Fi_Dt24=-4.65(40)*10^-2; Ei_Dt24=0.767(454); Ff_Dt32=2.09(94)*10^-2; Ef_Dt32=0.565(227); Fi_Dt32=0.572(103); Ei_Dt32=4.787(184)
 |      c_Dt24_5-24_Dt32_1-32 |       0.33233 |  120.36/(  41 -  1) =   3.01 | F=-2.72(42)*10^-2
 |      c_Dt24_5-24_Dt32_2-31 |       0.33194 |  120.50/(  41 -  1) =   3.01 | F=-2.15(36)*10^-2
 |      c_Dt24_5-24_Dt32_1-31 |       0.33191 |  120.51/(  41 -  1) =   3.01 | F=-2.16(38)*10^-2
