 |                         fit_name |       quality |   chisq/nDoF                 |
 |       c__24,13_24,24__32,4_32,23 |        10.278 |   27.27/(  27 -  1) =   1.05 | F=-1.32(972)*10^-3
 |     c2__24,13_24,24__32,10_32,25 |        10.249 |   16.33/(  23 -  5) =   0.91 | F=2.66(157)*10^-2; dmf=1.04(114)*10^1; Ff=1.53(2603)*10^2; dmi=1.354(510); Fi=-3.77(2021)*10^4
 |     c2__24,10_24,24__32,11_32,25 |        10.224 |   19.16/(  25 -  5) =   0.96 | F=3.02(198)*10^-2; dmf=7.837(8696); Ff=1.01(1130)*10^1; dmi=0.487(247); Fi=-4.427(10260)
 |       c__24,12_24,24__32,5_32,13 |        10.224 |   14.92/(  18 -  1) =   0.88 | F=3.23(1272)*10^-3
 |       c__24,12_24,24__32,3_32,12 |        10.215 |   16.36/(  19 -  1) =   0.91 | F=-2.45(1177)*10^-3
 |      c__24,12_24,23__32,11_32,22 |        10.214 |   16.36/(  19 -  1) =   0.91 | F=2.27(156)*10^-2
 |      c__24,13_24,24__32,11_32,22 |        10.182 |   16.39/(  19 -  1) =   0.91 | F=2.41(157)*10^-2
 |      c__24,13_24,24__32,14_32,25 |        10.175 |   16.39/(  19 -  1) =   0.91 | F=1.55(167)*10^-2
 |       c__24,13_24,24__32,3_32,13 |        10.174 |   16.39/(  19 -  1) =   0.91 | F=-5.27(1212)*10^-3
 |      c__24,13_24,24__32,14_32,23 |         10.15 |   13.52/(  17 -  1) =   0.85 | F=1.50(172)*10^-2
 |       c__24,13_24,24__32,8_32,24 |         10.14 |   23.34/(  24 -  1) =   1.01 | F=9.45(1196)*10^-3
 |    csrc__24,13_24,24__32,5_32,25 |        10.128 |   26.05/(  28 -  3) =   1.04 | F=8.35(1247)*10^-3; dmi=0.637(364); Fi=0.774(1434)
 |      c__24,12_24,24__32,13_32,20 |        10.124 |   12.05/(  16 -  1) =   0.80 | F=2.40(180)*10^-2
 |      c2__24,12_24,23__32,6_32,25 |        10.111 |   22.00/(  27 -  5) =   1.00 | F=1.46(103)*10^-2; dmf=0.366(297); Ff=-3.24(292)*10^-2; dmi=1.980(1417); Fi=4.21(4096)*10^3
 |   csrc__24,10_24,24__32,11_32,25 |        10.082 |   22.03/(  25 -  3) =   1.00 | F=3.45(227)*10^-2; dmi=0.406(249); Fi=-2.217(5002)
 |      c__24,12_24,24__32,12_32,18 |        10.067 |   12.10/(  16 -  1) =   0.81 | F=2.93(177)*10^-2
 |   csrc__24,12_24,23__32,12_32,25 |        10.065 |   16.48/(  21 -  3) =   0.92 | F=-2.213(198); dmi=3.83(1047)*10^-4; Fi=2.247(198)
 |      c__24,12_24,24__32,11_32,17 |         10.03 |   12.14/(  16 -  1) =   0.81 | F=2.99(181)*10^-2
 |       c__24,12_24,24__32,4_32,13 |        10.019 |   16.52/(  19 -  1) =   0.92 | F=-3.16(1167)*10^-3
 |      c__24,12_24,23__32,12_32,22 |        10.014 |   15.09/(  18 -  1) =   0.89 | F=2.57(158)*10^-2
 |       c__24,12_24,23__32,8_32,23 |        10.013 |   22.08/(  23 -  1) =   1.00 | F=4.00(1103)*10^-3
 |       c__24,12_24,23__32,9_32,24 |        9.9846 |   22.10/(  23 -  1) =   1.00 | F=9.10(1353)*10^-3
 |       c__24,13_24,24__32,6_32,23 |        9.9577 |   24.83/(  25 -  1) =   1.03 | F=4.82(1143)*10^-3
 |   csrc__24,10_24,24__32,10_32,25 |        9.9385 |   23.50/(  26 -  3) =   1.02 | F=2.57(214)*10^-2; dmi=0.415(299); Fi=-2.033(5579)
 |      c__24,12_24,23__32,13_32,18 |        9.9379 |    9.11/(  14 -  1) =   0.70 | F=2.50(182)*10^-2
 |     c2__24,12_24,24__32,11_32,25 |        9.9314 |   16.59/(  23 -  5) =   0.92 | F=2.45(148)*10^-2; dmf=2.39(81)*10^1; Ff=9.61(8279)*10^7; dmi=2.123(150); Fi=-4.50(788)*10^8
 |       c__24,12_24,24__32,7_32,12 |        9.8254 |   10.80/(  15 -  1) =   0.77 | F=9.42(1310)*10^-3
 |       c__24,12_24,24__32,8_32,13 |        9.8211 |   10.80/(  15 -  1) =   0.77 | F=1.25(141)*10^-2
 |      c__24,12_24,24__32,14_32,18 |        9.8042 |    9.25/(  14 -  1) =   0.71 | F=2.46(181)*10^-2
 |       c__24,12_24,24__32,7_32,18 |        9.8009 |   19.49/(  21 -  1) =   0.97 | F=1.67(1116)*10^-3
 |       c__24,12_24,23__32,3_32,24 |        9.7993 |   30.28/(  29 -  1) =   1.08 | F=-7.53(806)*10^-3
 |       c__24,12_24,23__32,4_32,23 |        9.7948 |   27.63/(  27 -  1) =   1.06 | F=-3.38(934)*10^-3
 |       c__24,12_24,23__32,7_32,22 |        9.7905 |   22.25/(  23 -  1) =   1.01 | F=4.57(1094)*10^-3
 |      c__24,12_24,23__32,13_32,21 |        9.7878 |   12.35/(  16 -  1) =   0.82 | F=2.00(168)*10^-2
 |       c__24,12_24,23__32,5_32,24 |        9.7728 |   27.65/(  27 -  1) =   1.06 | F=8.76(10189)*10^-4
 |      c__24,12_24,24__32,11_32,16 |        9.7708 |   10.85/(  15 -  1) =   0.77 | F=3.57(188)*10^-2
 |   csrc__24,12_24,24__32,13_32,25 |        9.7376 |   16.74/(  21 -  3) =   0.93 | F=1.55(191)*10^-2; dmi=0.755(2082); Fi=1.06(3829)*10^1
 |      c__24,12_24,24__32,13_32,17 |        9.7365 |    9.31/(  14 -  1) =   0.72 | F=2.49(187)*10^-2
 |      c__24,13_24,24__32,13_32,18 |        9.7361 |    9.31/(  14 -  1) =   0.72 | F=2.25(191)*10^-2
 |   csrc__24,13_24,24__32,12_32,25 |        9.7347 |   16.74/(  21 -  3) =   0.93 | F=1.58(167)*10^-2; dmi=5.512(71); Fi=5.71(352)*10^28
 |        c__24,12_24,24__32,3_32,7 |        9.7073 |    9.34/(  14 -  1) =   0.72 | F=2.12(160)*10^-2
 |       c__24,13_24,24__32,7_32,13 |         9.706 |   10.91/(  15 -  1) =   0.78 | F=5.21(1344)*10^-3
 |     c2__24,10_24,24__32,13_32,25 |        9.6804 |   16.79/(  23 -  5) =   0.93 | F=2.49(217)*10^-2; dmf=7.644(8544); Ff=7.419(97290); dmi=0.406(287); Fi=-1.629(4326)
 |       c__24,12_24,24__32,2_32,12 |        9.6682 |   18.20/(  20 -  1) =   0.96 | F=-9.83(11722)*10^-4
 |      c__24,12_24,23__32,14_32,22 |        9.5901 |   12.52/(  16 -  1) =   0.83 | F=1.84(165)*10^-2
 |       c__24,12_24,23__32,3_32,12 |        9.5883 |   15.44/(  18 -  1) =   0.91 | F=-6.23(11926)*10^-4
 |       c__24,12_24,23__32,5_32,13 |        9.5497 |   14.02/(  17 -  1) =   0.88 | F=4.84(1283)*10^-3
 |       c__24,12_24,23__32,4_32,13 |        9.5304 |   15.48/(  18 -  1) =   0.91 | F=-1.13(1184)*10^-3
 |       c__24,12_24,24__32,6_32,13 |        9.5292 |   14.04/(  17 -  1) =   0.88 | F=4.79(1283)*10^-3
 |       c__24,12_24,24__32,9_32,24 |        9.5229 |   23.82/(  24 -  1) =   1.04 | F=9.00(1353)*10^-3
 |        c__24,12_24,24__32,3_32,9 |        9.4991 |   12.60/(  16 -  1) =   0.84 | F=1.34(151)*10^-2
 |      c__24,12_24,24__32,15_32,22 |        9.4821 |   12.61/(  16 -  1) =   0.84 | F=1.96(179)*10^-2
 |      c__24,12_24,24__32,14_32,21 |        9.4636 |   12.63/(  16 -  1) =   0.84 | F=1.82(165)*10^-2
 |      c__24,12_24,23__32,14_32,26 |         9.459 |   18.37/(  20 -  1) =   0.97 | F=1.07(149)*10^-2
 |       c__24,12_24,23__32,6_32,23 |        9.4555 |   25.22/(  25 -  1) =   1.05 | F=1.58(1079)*10^-3
 |      c__24,13_24,24__32,14_32,22 |         9.417 |   12.67/(  16 -  1) =   0.84 | F=1.83(176)*10^-2
 |      c__24,12_24,24__32,16_32,24 |        9.4132 |   14.14/(  17 -  1) =   0.88 | F=2.11(169)*10^-2
