 |           fit_name |       quality |   chisq/nDoF                 |
 |      c__24,2_24,11 |        1.8725 |  432.25/(   8 -  1) =  61.75 | F=1.016(3)
 |       c__24,2_24,8 |         1.863 |  128.47/(   5 -  1) =  32.12 | F=1.052(4)
 |   csnk__24,5_24,13 |        1.8625 |  230.57/(   7 -  3) =  57.64 | F=0.956(3); dmf=3.60(14)*10^1; Ff=1.666(1414)
 |      c__24,2_24,12 |        1.8093 |  592.51/(   9 -  1) =  74.06 | F=1.007(3)
 |      c__24,4_24,14 |        1.7901 |  590.67/(   9 -  1) =  73.83 | F=0.949(3)
 |      c__24,4_24,14 |        1.7901 |  590.67/(   9 -  1) =  73.83 | F=0.949(3)
 |      c__24,3_24,13 |        1.7675 |  597.62/(   9 -  1) =  74.70 | F=0.979(3)
 |      c__24,2_24,10 |        1.7488 |  324.98/(   7 -  1) =  54.16 | F=1.028(3)
 |      c__24,3_24,16 |         1.738 | 1323.39/(  12 -  1) = 120.31 | F=0.936(2)
 |      c__24,1_24,10 |         1.689 |  494.85/(   8 -  1) =  70.69 | F=1.044(3)
 |       c__24,0_24,9 |        1.6856 |  512.68/(   8 -  1) =  73.24 | F=1.070(3)
 |      c__24,4_24,17 |        1.6774 | 1385.04/(  12 -  1) = 125.91 | F=0.908(2)
 |       c__24,1_24,8 |         1.673 |  239.13/(   6 -  1) =  47.83 | F=1.067(3)
 |      c__24,5_24,17 |        1.6534 | 1127.26/(  11 -  1) = 112.73 | F=0.899(2)
 |      c__24,5_24,17 |        1.6534 | 1127.26/(  11 -  1) = 112.73 | F=0.899(2)
 |      c__24,1_24,11 |        1.6494 |  680.68/(   9 -  1) =  85.09 | F=1.031(3)
 |      c__24,1_24,11 |        1.6494 |  680.68/(   9 -  1) =  85.09 | F=1.031(3)
 |      c__24,1_24,12 |        1.6274 |  884.27/(  10 -  1) =  98.25 | F=1.022(3)
 |      c__24,3_24,15 |        1.6246 | 1121.34/(  11 -  1) = 112.13 | F=0.947(2)
 |      c__24,6_24,17 |        1.6082 |  919.27/(  10 -  1) = 102.14 | F=0.893(2)
 |       c__24,0_24,8 |        1.5936 |  384.55/(   7 -  1) =  64.09 | F=1.081(3)
 |      c__24,2_24,13 |        1.5661 |  890.23/(  10 -  1) =  98.91 | F=0.992(3)
 |      c__24,3_24,14 |        1.5657 |  891.76/(  10 -  1) =  99.08 | F=0.962(2)
 |      c__24,7_24,17 |        1.5573 |  733.78/(   9 -  1) =  91.72 | F=0.886(2)
 |     c__24,11_24,17 |        1.5483 |  160.80/(   5 -  1) =  40.20 | F=0.849(3)
 |      c__24,0_24,10 |        1.5472 |  741.17/(   9 -  1) =  92.65 | F=1.058(3)
 |      c__24,0_24,10 |        1.5472 |  741.17/(   9 -  1) =  92.65 | F=1.058(3)
 |      c__24,0_24,11 |        1.5354 |  971.14/(  10 -  1) = 107.90 | F=1.045(3)
 |      c__24,2_24,16 |        1.5333 | 1836.17/(  13 -  1) = 153.01 | F=0.947(2)
 |     c__24,10_24,17 |        1.5236 |  263.33/(   6 -  1) =  52.67 | F=0.859(3)
 |      c__24,9_24,17 |        1.5214 |  394.51/(   7 -  1) =  65.75 | F=0.868(2)
 |      c__24,3_24,17 |        1.5115 | 1886.28/(  13 -  1) = 157.19 | F=0.918(2)
 |      c__24,0_24,12 |         1.493 | 1243.73/(  11 -  1) = 124.37 | F=1.035(2)
 |       c__24,0_24,6 |        1.4902 |  168.43/(   5 -  1) =  42.11 | F=1.110(4)
 |      c__24,2_24,15 |        1.4869 | 1537.06/(  12 -  1) = 139.73 | F=0.959(2)
 |       c__24,1_24,7 |        1.4705 |  166.75/(   5 -  1) =  41.69 | F=1.079(4)
 |      c__24,8_24,17 |        1.4695 |  567.89/(   8 -  1) =  81.13 | F=0.876(2)
 |       c__24,0_24,7 |        1.4467 |  281.15/(   6 -  1) =  56.23 | F=1.094(3)
 |      c__24,1_24,13 |        1.4398 | 1262.34/(  11 -  1) = 126.23 | F=1.007(2)
 |      c__24,2_24,14 |        1.4321 | 1251.33/(  11 -  1) = 125.13 | F=0.974(2)
 |      c__24,1_24,15 |        1.4077 | 2035.60/(  13 -  1) = 169.63 | F=0.973(2)
 |      c__24,1_24,16 |         1.405 | 2458.32/(  14 -  1) = 189.10 | F=0.960(2)
 |      c__24,4_24,18 |        1.3873 | 2041.43/(  13 -  1) = 170.12 | F=0.891(2)
 |      c__24,5_24,18 |        1.3765 | 1685.30/(  12 -  1) = 153.21 | F=0.883(2)
 |      c__24,2_24,17 |        1.3447 | 2544.64/(  14 -  1) = 195.74 | F=0.928(2)
 |      c__24,1_24,14 |        1.3434 | 1699.99/(  12 -  1) = 154.54 | F=0.989(2)
 |      c__24,0_24,13 |        1.3295 | 1720.94/(  12 -  1) = 156.45 | F=1.020(2)
 |      c__24,6_24,18 |        1.2874 | 1455.13/(  11 -  1) = 145.51 | F=0.877(2)
 |      c__24,6_24,18 |        1.2874 | 1455.13/(  11 -  1) = 145.51 | F=0.877(2)
 |      c__24,0_24,15 |        1.2627 | 2737.10/(  14 -  1) = 210.55 | F=0.985(2)
 |      c__24,0_24,16 |        1.2557 | 3267.50/(  15 -  1) = 233.39 | F=0.971(2)
 |      c__24,1_24,17 |        1.2549 | 3295.43/(  15 -  1) = 235.39 | F=0.941(2)
 |      c__24,7_24,18 |        1.2428 | 1197.74/(  10 -  1) = 133.08 | F=0.870(2)
 |      c__24,3_24,18 |        1.2343 | 2756.67/(  14 -  1) = 212.05 | F=0.901(2)
 |      c__24,0_24,14 |        1.2247 | 2293.34/(  13 -  1) = 191.11 | F=1.002(2)
 |     c__24,12_24,18 |        1.1544 |  217.74/(   5 -  1) =  54.44 | F=0.823(3)
 |      c__24,0_24,17 |        1.1402 | 4251.79/(  16 -  1) = 283.45 | F=0.951(2)
 |      c__24,2_24,18 |        1.1333 | 3552.87/(  15 -  1) = 253.78 | F=0.911(2)
